2026-03-27 19:32 <WARNING>  [0s] Multiple Renal Clearances specified, but not the same. RenalDynamics will override Systemic. 
2026-03-27 19:32 <INFO>  [0s] Configuring patient 
2026-03-27 19:32 <INFO>  [0s] No patient pain susceptibility set 0.000000 being used. 
2026-03-27 19:32 <INFO>  [0s] No patient sweat susceptibility set 0.000000 being used. 
2026-03-27 19:32 <INFO>  [0s] No patient sleep amount set 8.000000 hr being used. 
2026-03-27 19:32 <INFO>  [0s] Patient lean body mass computed and set to 60.917455 kg. 
2026-03-27 19:32 <INFO>  [0s] Patient muscle mass computed and set to 29.610510 kg. 
2026-03-27 19:32 <INFO>  [0s] Patient body density computed and set to 1.050524 g/cm^3. 
2026-03-27 19:32 <INFO>  [0s] No patient heart rate maximum set. Using a computed value of 177.200000 bpm. 
2026-03-27 19:32 <INFO>  [0s] No patient heart rate minimum set. Using a default value of 0.001bpm. 
2026-03-27 19:32 <INFO>  [0s] Patient's blood type antigen has not been set. Defaulting to  0.000000 
2026-03-27 19:32 <INFO>  [0s] No patient blood volume baseline set. Using a computed value of 5517.734438 mL. 
2026-03-27 19:32 <INFO>  [0s] No patient right lung ratio set. Using the standard value of 0.525000 . 
2026-03-27 19:32 <INFO>  [0s] No patient total lung capacity set. Using a computed value of 6.168856 L. 
2026-03-27 19:32 <INFO>  [0s] No patient functional residual capacity set. Using a computed value of 2.313321 L. 
2026-03-27 19:32 <INFO>  [0s] No patient residual volume set. Using a computed value of 1.542214 L. 
2026-03-27 19:32 <INFO>  [0s] Patient tidal volume computed and set to 0.539775 L. 
2026-03-27 19:32 <INFO>  [0s] Patient vital capacity computed and set to 4.626642 L. 
2026-03-27 19:32 <INFO>  [0s] Patient expiratory reserve volume computed and set to 0.771107 L. 
2026-03-27 19:32 <INFO>  [0s] Patient inspiratory reserve volume computed and set to 3.315760 L. 
2026-03-27 19:32 <INFO>  [0s] Patient inspiratory capacity computed and set to 3.855535 L. 
2026-03-27 19:32 <INFO>  [0s] No patient alveoli surface area set. Using a computed value of 69.987024 m^2. 
2026-03-27 19:32 <INFO>  [0s] No patient skin surface area set. Using a computed value of 1.968118 m^2. 
2026-03-27 19:32 <INFO>  [0s] No patient basal metabolic rate set. Using a computed value of << kcal/day. 
2026-03-27 19:32 <INFO>  [0s] No patient maximum work rate set. Using a computed value of 1000.800000 Watts. 
2026-03-27 19:32 <INFO>  [0s] Resetting Substances 
2026-03-27 19:32 <INFO>  [0s] Initializing Configuration 
2026-03-27 19:32 <INFO>  [0s] Merging Provided Configuration 
2026-03-27 19:32 <INFO>  [0s] Merging OnDisk Configuration 
2026-03-27 19:32 <INFO>  [0s] Creating Circuits and Compartments 
2026-03-27 19:32 <INFO>  [0s] Setting Up Cardiovascular 
2026-03-27 19:32 <INFO>  [0s] Setting up Cerebral 
2026-03-27 19:32 <INFO>  [0s] Setting Up Renal 
2026-03-27 19:32 <INFO>  [0s] Setting Up Tissue 
2026-03-27 19:32 <INFO>  [0s] Setting Up Gastrointestinal 
2026-03-27 19:32 <INFO>  [0s] Setting Up External Temperature 
