Time(s),CTSresistance,PatientWeight(kg),HeartRate(1/min),HeartStrokeVolume(mL),BloodVolume(L),ExtravascularFluidVolume(L),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),HemoglobinContent(g),CentralVenousPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),RespirationRate(1/min),OxygenSaturation,CarbonDioxideSaturation,TidalVolume(mL),TotalLungVolume(L),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),TranspulmonaryPressure(cmH2O),RespiratoryExchangeRatio,CoreTemperature(degC),SkinTemperature(degC),GlomerularFiltrationRate(mL/min),RenalBloodFlow(L/min),UrineProductionRate(mL/min),LeftAfferentArterioleResistance(mmHg_min/mL),RightAfferentArterioleResistance(mmHg_min/mL),OxygenConsumptionRate(mL/min),CarbonDioxideProductionRate(mL/min),LeftAlveoli-Pressure(cmH2O),LeftAlveoli-Oxygen-PartialPressure(mmHg),LeftAlveoli-CarbonDioxide-PartialPressure(mmHg),RightAlveoli-Pressure(cmH2O),RightAlveoli-Oxygen-PartialPressure(mmHg),RightAlveoli-CarbonDioxide-PartialPressure(mmHg),Trachea-Oxygen-PartialPressure(cmH2O),Trachea-CarbonDioxide-PartialPressure(cmH2O),Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg),VenaCava-Oxygen-PartialPressure(mmHg),VenaCava-CarbonDioxide-PartialPressure(mmHg),RightTubules-Sodium-Concentration(g/L),LeftTubules-Sodium-Concentration(g/L),Oxygen-AlveolarTransfer(mL/s),CarbonDioxide-AlveolarTransfer(mL/s),Epinephrine-BloodConcentration(ug/L),LiverGlycogen(g),MuscleGlycogen(g),NeuromuscularBlockLevel,SedationLevel,LeftEyePupillaryResponse-SizeModifier,LeftEyePupillaryResponse-ReactivityModifier,RightEyePupillaryResponse-SizeModifier,RightEyePupillaryResponse-ReactivityModifier,Aorta-Prednisone-Concentration(ug/L),VenaCava-Prednisone-Concentration(ug/L),BoneVasculature-Prednisone-Concentration(ug/L),BrainVasculature-Prednisone-Concentration(ug/L),FatVasculature-Prednisone-Concentration(ug/L),GutVasculature-Prednisone-Concentration(ug/L),LeftKidneyVasculature-Prednisone-Concentration(ug/L),LeftLungVasculature-Prednisone-Concentration(ug/L),LiverVasculature-Prednisone-Concentration(ug/L),MuscleVasculature-Prednisone-Concentration(ug/L),MyocardiumVasculature-Prednisone-Concentration(ug/L),RightKidneyVasculature-Prednisone-Concentration(ug/L),RightLungVasculature-Prednisone-Concentration(ug/L),SkinVasculature-Prednisone-Concentration(ug/L),SpleenVasculature-Prednisone-Concentration(ug/L),BoneTissueExtracellular-Prednisone-Concentration(ug/L),BrainTissueExtracellular-Prednisone-Concentration(ug/L),FatTissueExtracellular-Prednisone-Concentration(ug/L),GutTissueExtracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueExtracellular-Prednisone-Concentration(ug/L),LeftLungTissueExtracellular-Prednisone-Concentration(ug/L),LiverTissueExtracellular-Prednisone-Concentration(ug/L),MuscleTissueExtracellular-Prednisone-Concentration(ug/L),MyocardiumTissueExtracellular-Prednisone-Concentration(ug/L),RightKidneyTissueExtracellular-Prednisone-Concentration(ug/L),RightLungTissueExtracellular-Prednisone-Concentration(ug/L),SkinTissueExtracellular-Prednisone-Concentration(ug/L),SpleenTissueExtracellular-Prednisone-Concentration(ug/L),BoneTissueIntracellular-Prednisone-Concentration(ug/L),BrainTissueIntracellular-Prednisone-Concentration(ug/L),FatTissueIntracellular-Prednisone-Concentration(ug/L),GutTissueIntracellular-Prednisone-Concentration(ug/L),LeftKidneyTissueIntracellular-Prednisone-Concentration(ug/L),LeftLungTissueIntracellular-Prednisone-Concentration(ug/L),LiverTissueIntracellular-Prednisone-Concentration(ug/L),MuscleTissueIntracellular-Prednisone-Concentration(ug/L),MyocardiumTissueIntracellular-Prednisone-Concentration(ug/L),RightKidneyTissueIntracellular-Prednisone-Concentration(ug/L),RightLungTissueIntracellular-Prednisone-Concentration(ug/L),SkinTissueIntracellular-Prednisone-Concentration(ug/L),SpleenTissueIntracellular-Prednisone-Concentration(ug/L),Prednisone-PlasmaConcentration(ug/L),Prednisone-EffectSiteConcentration(ug/mL),Prednisone-SystemicMassCleared(ug),Prednisone-MassInBody(ug),Prednisone-LeftKidneyTissue-PartitionCoefficient,Prednisone-RightKidneyTissue-PartitionCoefficient,Prednisone-BrainTissue-PartitionCoefficient,Prednisone-RightLungTissue-PartitionCoefficient,Prednisone-LeftLungTissue-PartitionCoefficient,Prednisone-LiverTissue-PartitionCoefficient,Prednisone-BoneTissue-PartitionCoefficient,Prednisone-FatTissue-PartitionCoefficient,Prednisone-SkinTissue-PartitionCoefficient,Prednisone-MuscleTissue-PartitionCoefficient,Prednisone-SpleenTissue-PartitionCoefficient,Prednisone-GutTissue-PartitionCoefficient,Prednisone-MyocardiumTissue-PartitionCoefficient,LiverTissueIntracellular-Prednisone-MassCleared(ug),LeftKidneyTissueIntracellular-Prednisone-MassCleared(ug),RightKidneyTissueIntracellular-Prednisone-MassCleared(ug),LiverTissueIntracellular-Prednisone-MassExcreted(ug)
0.02,0,77.6,72,80.4,5.53,34.4,111.9,95.8,115,74.3,5.79,846,3.98,6.38,16.57,0.980,0.029,531,3.10,0.0431,7.50,7.52,0.871,36.6,31.3,154,1.30,1.702,0.0367,0.0367,257.256,239.035,1033,118,37.8,1033,119,37.4,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,5.14,-5.01,0.028254,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.04,0,77.6,72,80.4,5.53,34.4,109.9,95.8,115,74.3,5.79,846,3.99,6.38,16.57,0.980,0.029,531,3.11,0.0431,7.50,7.55,0.871,36.6,31.3,150,1.28,1.629,0.0367,0.0367,257.256,239.035,1033,118,37.8,1033,119,37.4,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,4.97,-5.45,0.028264,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.06,0,77.6,72,80.4,5.53,34.4,108.0,95.8,115,74.3,5.79,846,3.99,6.38,16.57,0.980,0.029,531,3.12,0.0431,7.50,7.58,0.871,36.6,31.3,146,1.25,1.555,0.0367,0.0367,257.256,239.035,1033,118,37.7,1033,119,37.4,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,4.96,-4.83,0.028272,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.08,0,77.6,72,80.4,5.53,34.4,106.1,95.8,115,74.3,5.79,846,4.00,6.38,16.57,0.980,0.029,531,3.12,0.0431,7.50,7.61,0.871,36.6,31.3,142,1.23,1.482,0.0367,0.0367,257.256,239.035,1033,118,37.7,1033,119,37.4,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,4.77,-5.25,0.028280,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.10,0,77.6,72,80.4,5.53,34.4,104.3,95.8,115,74.3,5.79,846,4.00,6.38,16.57,0.980,0.029,531,3.13,0.0431,7.50,7.64,0.871,36.6,31.3,139,1.21,1.411,0.0367,0.0367,257.256,239.035,1033,118,37.6,1033,119,37.3,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,4.75,-4.64,0.028286,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.12,0,77.6,72,80.4,5.53,34.4,102.5,95.8,115,74.3,5.79,846,4.00,6.38,16.57,0.980,0.029,531,3.13,0.0431,7.50,7.66,0.871,36.6,31.3,135,1.18,1.341,0.0367,0.0367,257.256,239.035,1033,118,37.6,1033,119,37.3,217,0.4,95.9,39.9,37.9,44.6,2.15,2.15,4.56,-4.86,0.028291,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.14,0,77.6,72,80.4,5.53,34.4,100.8,95.8,115,74.3,5.79,846,3.99,6.38,16.57,0.980,0.029,531,3.13,0.0431,7.50,7.65,0.871,36.6,31.3,132,1.16,1.273,0.0367,0.0367,257.256,239.035,1033,118,37.6,1033,119,37.3,216,0.9,95.9,39.9,37.9,44.6,2.15,2.15,4.55,-3.66,0.028294,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.16,0,77.6,72,80.4,5.53,34.4,99.1,95.8,115,74.3,5.79,846,3.99,6.38,16.57,0.980,0.029,531,3.12,0.0431,7.50,7.60,0.871,36.6,31.3,128,1.14,1.207,0.0367,0.0367,257.256,239.035,1034,118,37.7,1034,119,37.4,215,2.2,95.9,39.9,37.9,44.6,2.15,2.15,4.34,-3.94,0.028297,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.18,0,77.6,72,80.4,5.53,34.4,97.5,95.8,115,74.3,5.79,846,3.98,6.38,16.57,0.980,0.029,531,3.10,0.0431,7.50,7.53,0.871,36.6,31.3,125,1.12,1.143,0.0367,0.0367,257.256,239.035,1034,118,37.7,1034,119,37.4,213,4.1,95.9,39.9,37.9,44.6,2.15,2.15,4.32,-3.33,0.028298,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
0.20,0,77.6,72,80.4,5.53,34.4,95.9,95.8,115,74.3,5.79,846,3.97,6.38,16.57,0.980,0.029,531,3.09,0.0431,7.50,7.44,0.871,36.6,31.3,122,1.10,1.080,0.0367,0.0367,257.256,239.035,1034,118,37.8,1034,119,37.4,210,6.5,95.9,39.9,37.9,44.6,2.15,2.15,4.14,-3.79,0.028299,117,592.20,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5676,0.5676,0.8800,0.4735,0.4735,0.6700,0.8683,0.5420,0.7244,0.5086,0.7109,0.8360,0.5185,0,0,0,0
